card_id,related_ids_raw,related,name,cost,xp,effect,highlight_effect,set,card_location,image_url,highlight_color,primary_types,keywords,subtypes,symbols,image_variants
JOJ-001,"JOJ-044, JOJ-018","{""JOJ-044"",""JOJ-018""}",Ampharos,7,2,"+4 Energy and choose an opponent.
Put up to two cards with cost 4 or less from that opponent's discard pile on top of their deck.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Ampharos.webp,,Pokemon,,Evolved,__none__,
JOJ-002,,{},Ash,,,"At the end of each of your turns, if you bought or gained a Challenge this turn, draw a card.",,[JOJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Ash.webp,,Trainer,,,__none__,
JOJ-003,"JOJ-006, JOJ-045","{""JOJ-006"",""JOJ-045""}",Bayleef,5,1,"+1 Energy
Draw a card.
Evolve 6: Put this under your Trainer. Gain Meganium from the Evolution Stack.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Bayleef.webp,,Pokemon,Evolve,Evolved,__none__,
JOJ-004,,{},Brock,,,"Once during each of your turns, if you have played two or more different Pokemon this turn, gain +1 Energy.",,[JOJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Brock.webp,,Trainer,,,__none__,
JOJ-005,,{},Celebi,8,3,"Choose one of the following:
 • Gain +3 Energy.
 • Gain an Evolve card in the Route, then Evolve it without paying its cost.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Celebi.webp,,Pokemon,,Mythical,__none__,
JOJ-006,"JOJ-003, JOJ-045","{""JOJ-003"",""JOJ-045""}",Chikorita,3,1,"Draw a card.
Evolve 3: Put this under your Trainer. Gain Bayleef from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Chikorita.webp,,Pokemon,Evolve,,__none__,
JOJ-007,JOJ-037,"{""JOJ-037""}",Chinchou,4,1,"+1 Energy
Attack: Each opponent flips their Trainer face down until the end of their next turn.
Evolve 6: Put this under your Trainer. Gain Lantern from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Chinchou.webp,,Pokemon,Attack|Evolve,,__none__,
JOJ-008,,{},Cleffa,2,1,"Draw a card.
Ongoing: At the start of your turn, you may discard this from play. If you do, draw a card.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Cleffa.webp,,Pokemon,Ongoing,,__none__,
JOJ-009,JOJ-060,"{""JOJ-060""}",Corsola,5,1,"+2 Energy
You may destroy a Poison in your hand or discard pile.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Corsola.webp,,Pokemon,,,__none__,
JOJ-010,"JOJ-098, JOJ-017","{""JOJ-098"",""JOJ-017""}",Croconaw,5,1,"+1 Energy
Attack: Each opponent discards a random card.
Evolve 6: Put this under your Trainer. Gain Feraligatr from the Evolution Stack.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Croconaw.webp,,Pokemon,Attack|Evolve,Evolved,__none__,
JOJ-011,"JOJ-100, JOJ-067","{""JOJ-100"",""JOJ-067""}",Cyndaquil,3,1,"You may destroy a card in your discard pile.
Evolve 3: Put this under your Trainer. Gain Quilava from the Evolution Stack.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Cyndaquil.webp,,Pokemon,Evolve,,__none__,
JOJ-012,JOJ-055,"{""JOJ-055""}",Donphan,6,2,"+2 Energy
Defense: You may draw two cards, then put this on top of your deck to avoid an Attack.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Donphan.webp,,Pokemon,Defense,Evolved,__none__,
JOJ-013,,{},Elekid,2,1,"Draw a card.
Ongoing: At the start of your turn, you may discard this from play. If you do, each opponent puts a card with cost 0 from their discard pile on top of their deck.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Elekid.webp,,Pokemon,Ongoing,,__none__,
JOJ-014,,{},Energy Removal,,0,,,[JOJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Energy%20Removal.webp,,Starter,,,__none__,
JOJ-015,,{},Entei,7,2,"+3 Energy
You may destroy up to two cards in your discard pile.","At the end of the turn, if this is in the Route, shuffle it into the Main Deck.",[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Entei.webp,yellow,Pokemon,,Legendary,__none__,
JOJ-016,,{},Fast Ball,4,1,Gain a Pokemon with cost 7 or less that entered the Route this turn.,,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Fast%20Ball.webp,,Item,,,__none__,
JOJ-017,"JOJ-098, JOJ-010","{""JOJ-098"",""JOJ-010""}",Feraligatr,7,2,"+4 Energy
Attack: Each opponent discards a random card.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Feraligatr.webp,,Pokemon,Attack,Evolved,__none__,
JOJ-018,"JOJ-044, JOJ-001","{""JOJ-044"",""JOJ-001""}",Flaaffy,5,1,"+1 Energy
Each opponent puts a card with cost 0 from their discard pile on top of their deck.
Evolve 6: Put this under your Trainer. Gain Ampharos from the Evolution Stack.",,[JOJ],Evolution Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Flaaffy.webp,,Pokemon,Evolve,Evolved,__none__,
JOJ-019,,{},Focus Band,4,1,"+2 Energy
If this is discarded from your hand by a card or Trainer effect, put this into your hand.",,[JOJ],Main Deck,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Focus%20Band.webp,,Item,,,__none__,
JOJ-020,,{},Fog Badge,9,5,,"When you gain this, put this under your Trainer.",[JOJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/JOJ/Fog%20Badge.webp,blue,Challenge,,,__none__,
