card_id,related_ids_raw,related,name,cost,xp,effect,highlight_effect,set,card_location,image_url,highlight_color,primary_types,keywords,subtypes,symbols
GLI-001,"GLI-002, GLI-020","{""GLI-002"",""GLI-020""}",Blaine,,,You start the game with Blaine's Arcanine in your deck.,,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Blaine.webp,,Trainer,,,__none__
GLI-002,"GLI-001, GLI-020","{""GLI-001"",""GLI-020""}",Blaine's Arcanine,3,0,"+2 Energy
Learn 6: Gain Fire Blast and put it in front of your Trainer.",,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Blaine's%20Arcanine.webp,,Starter|Pokemon,Learn,,__none__
GLI-003,"GLI-004, GLI-017","{""GLI-004"",""GLI-017""}",Brock,,,You start the game with Brock's Golem in your deck.,,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Brock.webp,,Trainer,,,__none__
GLI-004,"GLI-003, GLI-017","{""GLI-003"",""GLI-017""}",Brock's Golem,3,0,"+1 Energy and choose an opponent.
Attack: That opponent has -2 Energy during their next turn.
Learn 7: Gain Earthquake and put it in front of your Trainer.",,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Brock's%20Golem.webp,,Starter|Pokemon,Attack|Learn,,__none__
GLI-005,,{},Challenger - Ash,14,10,,"When you gain this, put this under your Trainer.",[GLI],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Challenger%20-%20Ash.webp,blue,Challenge,,,__none__
GLI-006,,{},Challenger - Biker,10,6,,"When you gain this, put this under your Trainer.",[GLI],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Challenger%20-%20Biker.webp,blue,Challenge,,,__none__
GLI-007,,{},Challenger - Blackbelt,11,7,,"When you gain this, put this under your Trainer.",[GLI],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Challenger%20-%20Blackbelt.webp,blue,Challenge,,,__none__
GLI-008,,{},Challenger - Fisherman,8,5,,"When you gain this, put this under your Trainer.",[GLI],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Challenger%20-%20Fisherman.webp,blue,Challenge,,,__none__
GLI-009,,{},Challenger - Gary,12,8,,"When you gain this, put this under your Trainer.",[GLI],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Challenger%20-%20Gary.webp,blue,Challenge,,,__none__
GLI-010,,{},Challenger - Gentleman,9,5,,"When you gain this, put this under your Trainer.",[GLI],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Challenger%20-%20Gentleman.webp,blue,Challenge,,,__none__
GLI-011,,{},Challenger - Hiker,8,5,,"When you gain this, put this under your Trainer.",[GLI],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Challenger%20-%20Hiker.webp,blue,Challenge,,,__none__
GLI-012,,{},Challenger - Psychic,10,6,,"When you gain this, put this under your Trainer.",[GLI],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Challenger%20-%20Psychic.webp,blue,Challenge,,,__none__
GLI-013,,{},Challenger - Scientist,9,5,,"When you gain this, put this under your Trainer.",[GLI],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Challenger%20-%20Scientist.webp,blue,Challenge,,,__none__
GLI-014,,{},Challenger - Youngster,7,4,,"When you gain this, put this under your Trainer.",[GLI],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Challenger%20-%20Youngster.webp,blue,Challenge,,,__none__
GLI-015,"GLI-028, GLI-029","{""GLI-028"",""GLI-029""}",Confusion,,,"When you play Misty's Golduck, choose an opponent. That opponent reveals their hand, then you may copy the effects of a card revealed this way until the end of your turn. This can't Evolve or Learn.",This stays in play in front of your Trainer. This is not affected by any effects that do not mention it specifically.,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Confusion.webp,,Move,,Unique,__none__
GLI-016,"GLI-023, GLI-024","{""GLI-023"",""GLI-024""}",Disable,,,"When you play Koga's Venomoth, gain +1 Energy and choose an opponent. Attack: Reveal the top three cards of that opponent's deck, then discard all cards with cost 1 or more revealed this way.",This stays in play in front of your Trainer. This is not affected by any effects that do not mention it specifically.,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Disable.webp,,Move,Attack,Unique,__none__
GLI-017,"GLI-003, GLI-004","{""GLI-003"",""GLI-004""}",Earthquake,,,"When you play Brock's Golem, gain +5 Energy.",This stays in play in front of your Trainer. This is not affected by any effects that do not mention it specifically.,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Earthquake.webp,,Move,,Unique,__none__
GLI-018,"GLI-019, GLI-032","{""GLI-019"",""GLI-032""}",Erika,,,You start the game with Erika's Vileplume in your deck.,,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Erika.webp,,Trainer,,,__none__
GLI-019,"GLI-018, GLI-032","{""GLI-018"",""GLI-032""}",Erika's Vileplume,3,0,"+2 Energy and choose an opponent.
Attack: That opponent draws one less card at the end of their next turn.
Learn 6: Gain Sleep Powder and put it in front of your Trainer.",,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Erika's%20Vileplume.webp,,Starter|Pokemon,Attack|Learn,,__none__
GLI-020,"GLI-001, GLI-002","{""GLI-001"",""GLI-002""}",Fire Blast,,,"When you play Blaine's Arcanine, you may destroy a card in your hand or discard pile.",This stays in play in front of your Trainer. This is not affected by any effects that do not mention it specifically.,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Fire%20Blast.webp,,Move,,Unique,__none__
GLI-021,"GLI-022, GLI-033","{""GLI-022"",""GLI-033""}",Giovanni,,,You start the game with Giovanni's Nidoking in your deck.,,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Giovanni.webp,,Trainer,,,__none__
GLI-022,"GLI-021, GLI-033","{""GLI-021"",""GLI-033""}",Giovanni's Nidoking,3,0,"+2 Energy
Learn 6: Gain Thrash and put it in front of your Trainer.",,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Giovanni's%20Nidoking.webp,,Starter|Pokemon,Learn,,__none__
GLI-023,"GLI-024, GLI-016","{""GLI-024"",""GLI-016""}",Koga,,,You start the game with Koga's Venomoth in your deck.,,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Koga.webp,,Trainer,,,__none__
GLI-024,"GLI-023, GLI-016","{""GLI-023"",""GLI-016""}",Koga's Venomoth,3,0,"+2 Energy
Each opponent discards a card.
Learn 6: Gain Disable and put it in front of your Trainer.",,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Koga's%20Venomoth.webp,,Starter|Pokemon,Learn,,__none__
GLI-025,"GLI-030, GLI-031","{""GLI-030"",""GLI-031""}",Lovely Kiss,,,"When you play Sabrina's Jynx, gain +1 Energy and choose an opponent. Attack: That opponent discards two cards.",This stays in play in front of your Trainer. This is not affected by any effects that do not mention it specifically.,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Lovely%20Kiss.webp,,Move,Attack,Unique,__none__
GLI-026,"GLI-027, GLI-034","{""GLI-027"",""GLI-034""}",Lt. Surge,,,You go first. You start the game with Lt. Surge's Raichu in your deck.,,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Lt%20Surge.webp,,Trainer,,,__none__
GLI-027,"GLI-026, GLI-034","{""GLI-026"",""GLI-034""}",Lt. Surge's Raichu,3,0,"+2 Energy
Learn 6: Gain Thunder and put it in front of your Trainer.",,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Lt%20Surge's%20Raichu.webp,,Starter|Pokemon,Learn,,__none__
GLI-028,"GLI-029, GLI-015","{""GLI-029"",""GLI-015""}",Misty,,,You start the game with Misty's Golduck in your deck.,,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Misty.webp,,Trainer,,,__none__
GLI-029,"GLI-028, GLI-015","{""GLI-028"",""GLI-015""}",Misty's Golduck,3,0,"+1 Energy and choose an opponent.
Attack: That opponent discards a random card.
Learn 5: Gain Confusion and put it in front of your Trainer.",,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Misty's%20Golduck.webp,,Starter|Pokemon,Attack|Learn,,__none__
GLI-030,"GLI-031, GLI-025","{""GLI-031"",""GLI-025""}",Sabrina,,,You start the game with Sabrina's Jynx in your deck.,,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Sabrina.webp,,Trainer,,,__none__
GLI-031,"GLI-030, GLI-025","{""GLI-030"",""GLI-025""}",Sabrina's Jynx,3,0,"+2 Energy and choose an opponent.
Attack: That opponent can't draw cards during their next turn.
Learn 6: Gain Lovely Kiss and put it in front of your Trainer.",,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Sabrina's%20Jynx.webp,,Starter|Pokemon,Attack|Learn,,__none__
GLI-032,"GLI-018, GLI-019","{""GLI-018"",""GLI-019""}",Sleep Powder,,,"When you play Erika's Vileplume, gain +1 Energy and choose an opponent. Attack: That opponent discards a Pokemon.",This stays in play in front of your Trainer. This is not affected by any effects that do not mention it specifically.,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Sleep%20Powder.webp,,Move,Attack,Unique,__none__
GLI-033,"GLI-021, GLI-022","{""GLI-021"",""GLI-022""}",Thrash,,,"When you play Giovanni's Nidoking, put a Thrash Counter on this, then gain +1 Energy for each Thrash Counter on this.",This stays in play in front of your Trainer. This is not affected by any effects that do not mention it specifically.,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Thrash.webp,,Move,,Unique,__none__
GLI-034,"GLI-026, GLI-027","{""GLI-026"",""GLI-027""}",Thunder,,,"When you play Lt. Surge's Raichu, gain +1 Energy and choose an opponent. Attack: That opponent discards a card, then puts two cards with cost 0 from their discard pile on top of their deck.",,[GLI],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLI/Thunder.webp,,Move,Attack,Unique,__none__
