card_id,related_ids_raw,related,image_url,name,cost,xp,effect,highlight_effect,highlight_color,card_location,primary_types,keywords,subtypes,symbols,set,image_variants,rules
GLK-001,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Challenger%20-%20Alvin.webp,Challenger - Alvin,8,5,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[GLK],,
GLK-002,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Challenger%20-%20Astrid.webp,Challenger - Astrid,9,5,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[GLK],,
GLK-003,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Challenger%20-%20AZ.webp,Challenger - AZ,11,7,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[GLK],,
GLK-004,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Challenger%20-%20Calem.webp,Challenger - Calem,12,8,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[GLK],,
GLK-005,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Challenger%20-%20Diantha.webp,Challenger - Diantha,14,10,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[GLK],,
GLK-006,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Challenger%20-%20Nico.webp,Challenger - Nico,8,5,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[GLK],,
GLK-007,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Challenger%20-%20Remo.webp,Challenger - Remo,10,6,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[GLK],,
GLK-008,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Challenger%20-%20Sanpei.webp,Challenger - Sanpei,7,4,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[GLK],,
GLK-009,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Challenger%20-%20Sawyer.webp,Challenger - Sawyer,10,6,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[GLK],,
GLK-010,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Challenger%20-%20Titus.webp,Challenger - Titus,9,5,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[GLK],,
GLK-011,"GLK-012, GLK-024","{""GLK-012"",""GLK-024""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Clemont.webp,Clemont,,,You start the game with Clemont's Heliolisk in your deck.,,,Setup,Trainer,,,__none__,[GLK],,
GLK-012,"GLK-011, GLK-024","{""GLK-011"",""GLK-024""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Clemont's%20Heliolisk.webp,Clemont's Heliolisk,3,0,"+2 Energy
Look at the top two cards of your deck. Put any number of them on the top of your deck in any order, and the rest on the bottom.
Learn 6: Gain Parabolic Charge and put it in front of your Trainer.",,,Setup,Starter|Pokemon,Learn,,__none__,[GLK],,
GLK-013,"GLK-016,GLK-017","{""GLK-016"",""GLK-017""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Draco%20Meteor.webp,Draco Meteor,,,"When you play Grant's Tyrunt, gain +3 Energy and you draw one less card at the end of your turn.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",,Setup,Move,,Unique,__none__,[GLK],,
GLK-014,"GLK-019,GLK-020","{""GLK-019"",""GLK-020""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Force%20Palm.webp,Force Palm,,,"When you play Korrina's Mienfoo, gain +1 Energy and choose an opponent. That opponent discards a random card. If that card costs 0, put it on top of their deck.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",,Setup,Move,,Unique,__none__,[GLK],,
GLK-015,"GLK-022,GLK-023","{""GLK-022"",""GLK-023""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Future%20Sight.webp,Future Sight,,,"When you play Olympia's Meowstic, gain +1 Energy and search your deck. You may discard up to three cards in your deck, then shuffle your deck.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",,Setup,Move,,Unique,__none__,[GLK],,
GLK-016,"GLK-017,GLK-013","{""GLK-017"",""GLK-013""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Grant.webp,Grant,,,You start the game with Grant's Tyrunt in your deck.,,,Setup,Trainer,,,__none__,[GLK],,
GLK-017,"GLK-016,GLK-013","{""GLK-016"",""GLK-013""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Grant's%20Tyrunt.webp,Grant's Tyrunt,3,0,"+2 Energy
Learn 6: Gain Draco Meteor and put it in front of your Trainer.",,,Setup,Starter|Pokemon,Learn,,__none__,[GLK],,
GLK-018,"GLK-031,GLK-032","{""GLK-031"",""GLK-032""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Gust.webp,Gust,,,"When you play Viola's Vivillon, draw a card and choose either the Route or the Mega Evolution Line. Put all cards from the chosen zone on the bottom of its deck or stack, then refill that zone.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",,Setup,Move,,Unique,__none__,[GLK],,
GLK-019,"GLK-020,GLK-014","{""GLK-020"",""GLK-014""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Korrina.webp,Korrina,,,You start the game with Korrina's Mienfoo in your deck.,,,Setup,Trainer,,,__none__,[GLK],,
GLK-020,"GLK-019,GLK-014","{""GLK-019"",""GLK-014""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Korrina's%20Mienfoo.webp,Korrina's Mienfoo,3,0,"+2 Energy
Learn 6: Gain Force Palm and put it in front of your Trainer.",,,Setup,Starter|Pokemon,Learn,,__none__,[GLK],,
GLK-021,"GLK-029,GLK-030","{""GLK-029"",""GLK-030""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Moonblast.webp,Moonblast,,,"When you play Valerie's Spritzee, gain +1 Energy and look at an opponent's hand. That opponent discards an Attack card of your choosing.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",,Setup,Move,,Unique,__none__,[GLK],,
GLK-022,"GLK-023,GLK-015","{""GLK-023"",""GLK-015""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Olympia.webp,Olympia,,,You start the game with Olympia's Meowstic in your deck.,,,Setup,Trainer,,,__none__,[GLK],,
GLK-023,"GLK-022,GLK-015","{""GLK-022"",""GLK-015""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Olympia's%20Meowstic.webp,Olympia's Meowstic,3,0,"+1 Energy
You may put a card from your hand on the bottom of your deck. If you do, draw a card.
Learn 6: Gain Future Sight and put it in front of your Trainer.",,,Setup,Starter|Pokemon,Learn,,__none__,[GLK],,
GLK-024,"GLK-011, GLK-012","{""GLK-011"",""GLK-012""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Parabolic%20Charge.webp,Parabolic Charge,,,"When you play Clemont's Heliolisk, gain +1 Energy and each player discards all non-Status Conditions in front of their Trainer. For each card discarded this way, gain +1 Energy.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",,Setup,Move,,Unique,__none__,[GLK],,
GLK-025,"GLK-026,GLK-028","{""GLK-026"",""GLK-028""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Ramos.webp,Ramos,,,You start the game with Ramos's Gogoat in your deck.,,,Setup,Trainer,,,__none__,[GLK],,
GLK-026,"GLK-025,GLK-028","{""GLK-025"",""GLK-028""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Ramos's%20Gogoat.webp,Ramos's Gogoat,3,0,"Shuffle a Pokemon from your discard pile into your deck.
Learn 6: Gain Razor Leaf and put it in front of your Trainer.",,,Setup,Starter|Pokemon,Learn,,__none__,[GLK],,
GLK-027,"GLK-033,GLK-034","{""GLK-033"",""GLK-034""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Rapid%20Spin.webp,Rapid Spin,,,"Ongoing: You may put Wulfric's Cryogonal into play to ignore the effect of an Attack. If you do, draw a card then discard a card.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",,Setup,Move,,Unique,__none__,[GLK],,
GLK-028,"GLK-025,GLK-026","{""GLK-025"",""GLK-026""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Razor%20Leaf.webp,Razor Leaf,,,"When you play Ramos's Gogoat, gain +3 Energy and reveal the top card of the Main Deck. If that card costs 5 or more, Attack: Each opponent discards a card.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",,Setup,Move,Attack,Unique,__none__,[GLK],,
GLK-029,"GLK-030,GLK-021","{""GLK-030"",""GLK-021""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Valerie.webp,Valerie,,,You start the game with Valerie's Spritzee in your deck.,,,Setup,Trainer,,,__none__,[GLK],,
GLK-030,"GLK-029,GLK-021","{""GLK-029"",""GLK-021""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Valerie's%20Spritzee.webp,Valerie's Spritzee,3,0,"+2 Energy
Learn 6: Gain Moonblast and put it in front of your Trainer.",,,Setup,Starter|Pokemon,Learn,,__none__,[GLK],,
GLK-031,"GLK-032, GLK-018","{""GLK-032"",""GLK-018""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Viola.webp,Viola,,,You start the game with Viola's Vivillon in your deck.,,,Setup,Trainer,,,__none__,[GLK],,
GLK-032,"GLK-031, GLK-018","{""GLK-031"",""GLK-018""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Viola's%20Vivillon.webp,Viola's Vivillon,3,0,"+1 Energy
Draw a card.
Learn 6: Gain Gust and put it in front of your Trainer.",,,Setup,Starter|Pokemon,Learn,,__none__,[GLK],,
GLK-033,"GLK-034,GLK-027","{""GLK-034"",""GLK-027""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Wulfric.webp,Wulfric,,,You start the game with Wulfric's Cryogonla in your deck.,,,Setup,Trainer,,,__none__,[GLK],,
GLK-034,"GLK-033,GLK-027","{""GLK-033"",""GLK-027""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLK/Wulfric's%20Cryogonal.webp,Wulfric's Cryogonal,3,0,"+2 Energy
At the start of your turn, if this is in play, put this into your hand.
Learn 5: Gain Rapid Spin and put it in front of your Trainer.",,,Setup,Starter|Pokemon,Learn,,__none__,[GLK],,
