card_id,related_ids_raw,related,image_url,name,cost,xp,effect,highlight_effect,highlight_color,card_location,primary_types,keywords,subtypes,symbols,set,image_variants,rules
TSR-001,TSR-007,"{""TSR-007""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Antidote.webp,Antidote,4,1,"+2 Energy
Destroy a Badly Poisoned you control in play, in your discard pile, or under your Trainer.",,,Main Deck,Item,,,__none__,[TSR],,
TSR-002,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Arceus.webp,Arceus,8,3,"Choose one of the following:
 • +2 Energy and put up to two cards in your hand and/or discard pile under your Trainer.
 • Gain a card in the Destroyed Pile. If you do, put it into your hand.",,,Mythical Pokemon Stack,Pokemon,,Mythical,__none__,[TSR],,
TSR-003,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Ash.webp,Ash,,,Pokemon you control in play cost one less to Evolve.,,,Setup,Trainer,,,__none__,[TSR],,
TSR-004,TSR-105,"{""TSR-105""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Awakening.webp,Awakening,4,1,"+2 Energy
Destroy a Sleep you control in play or in your discard pile.",,,Main Deck,Item,,,__none__,[TSR],,
TSR-005,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Azelf.webp,Azelf,6,2,"+2 Energy
Each opponent flips their Trainer face-down until the end of their next turn.
Defense: You may discard this to avoid an Attack. If you do, draw a card, then the opponent who controls the source of that Attack flips their Trainer face-down until the end of their next turn.",,,Main Deck,Pokemon,,Legendary,__none__,[TSR],,
TSR-006,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Back%20to%20Basics!.webp,Back To Basics!,,,Encounter Attack: Each player discards a card with cost 1 or more.,"This can't be bought or gained. At the end of the turn, destroy this.",yellow,Main Deck,Encounter,Encounter Attack,,Team Rocket,[TSR],,
TSR-007,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Badly%20Poisoned.webp,Badly Poisoned,0,-1,"Ongoing: When another Status Condition enters play under your control, destroy this. At the end of your turn, put this under your Trainer.","When this enters your hand, put this into play.",red,Poison/Status Condition Stack,Status Condition,Ongoing,,__none__,[TSR],,
TSR-008,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Barry.webp,Barry,,,"Once during each of your turns, when you play a Pokemon with cost 4 or more, gain +1 Energy.",,,Setup,Trainer,,,__none__,[TSR],,
TSR-009,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Beacon%20Badge.webp,Beacon Badge,12,7,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[TSR],,
TSR-010,TSR-011,"{""TSR-011""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/TSR/Bibarel.webp,Bibarel,5,1,"+2 Energy and choose an opponent.
Attack: That opponent discards half of their cards in their hand, rounded down.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[TSR],,
