card_id,related_ids_raw,related,image_url,name,cost,xp,effect,highlight_effect,highlight_color,card_location,primary_types,keywords,subtypes,symbols,set,image_variants,rules,wcs_tier
WCS-001,"WCS-002, WCS-032","{""WCS-002"",""WCS-032""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Ace%20Trainer%20Rob.webp,Ace Trainer Rob,,,You start the game with Ace Trainer Rob's Duskull in your deck.,,,Setup,Trainer,,,__none__,[WCS],,,7
WCS-002,"WCS-001, WCS-032","{""WCS-001"",""WCS-032""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Ace%20Trainer%20Rob's%20Duskull.webp,Ace Trainer Rob's Duskull,3,0,"+1 Energy
Learn 6: Gain Dark Guidance and put it in front of your Trainer.",,,Setup,Starter|Pokemon,Learn,,__none__,[WCS],,,
WCS-003,"WCS-031, WCS-034, WCS-048, WCS-059, WCS-065, WCS-093, WCS-095, WCS-097","{""WCS-031"",""WCS-034"",""WCS-048"",""WCS-059"",""WCS-065"",""WCS-093"",""WCS-095"",""WCS-097""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Ace%20Trainer.webp,Ace Trainer,,,You may ignore the restriction text on all ACE SPECs. ACE SPECs in the Route cost you two less to buy or gain.,,,Setup,Trainer,,,__none__,[WCS],,,2
WCS-004,"WCS-078, WCS-049","{""WCS-078"",""WCS-049""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Ball%20Guy.webp,Ball Guy,,,You start the game with Poke Ball and Great Ball in your deck.,,,Setup,Trainer,,,__none__,[WCS],,,4
WCS-005,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Bebe.webp,Bebe,,,"At the end of each of your turns, draw an additional card, then put a card from your hand on top of your deck.",,,Setup,Trainer,,,__none__,[WCS],,,4
WCS-006,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Blacephalon.webp,Blacephalon,10,4,"+3 Energy
You may destroy the top two cards of your deck. For each card with cost 1 or more destroyed this way, gain +2 Energy.",,,Extra Stack,Pokemon,,Ultra Beast,Beast Ball,[WCS],,,
WCS-007,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Blue.webp,Blue,,,"You go first. Challenges cost you one less to buy. At the end of the game, gain 1 XP for each Challenge you have.",,,Setup,Trainer,,,__none__,[WCS],,,5
WCS-008,"WCS-100, WCS-104","{""WCS-100"",""WCS-104""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Bounsweet.webp,Bounsweet,4,1,"+1 Energy
Evolve 4: Put this under your Trainer. Gain Steenee from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[WCS],,,
WCS-009,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Brigette.webp,Brigette,,,"At the start of each of your turns, you may put any number of Pokemon from the Route on the bottom of the Main Deck, then refill the Route.",,,Setup,Trainer,,,__none__,[WCS],,,3
WCS-010,"WCS-033, WCS-096, WCS-030","{""WCS-033"",""WCS-096"",""WCS-030""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Brilliant%20Deduction.webp,Brilliant Deduction,3,0,"Look at the top four cards of your deck. Put one of them into your hand, then shuffle the rest into your deck. At the end of your turn, swap this with Scout.",,,Setup,Starter,,,__none__,[WCS],,,
WCS-011,WCS-012,"{""WCS-012""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Brodie.webp,Brodie,,,You start the game with Brodie's Ditto in your deck.,,,Setup,Trainer,,,__none__,[WCS],,,5
WCS-012,WCS-011,"{""WCS-011""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Brodie's%20Ditto.webp,Brodie's Ditto,3,0,"+1 Energy
Choose a Unique Move in play. You may copy the effects of that Unique Move until the end of your turn as if you have played the card specified on that Unique Move this turn. This can't be copied.",,,Setup,Starter|Pokemon,,,__none__,[WCS],,,
WCS-013,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Buck.webp,Buck,,,"Once during each player's turn, when you avoid an Attack, you may draw a card.",,,Setup,Trainer,,,__none__,[WCS],,,6
WCS-014,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Buzzwole.webp,Buzzwole,10,4,"+2 Energy
Attack: Each opponent discards a card. For each opponent that doesn't avoid or ignore this Attack, gain +1 Energy.",,,Extra Stack,Pokemon,Attack,Ultra Beast,Beast Ball,[WCS],,,
WCS-015,WCS-086,"{""WCS-086""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Capture%20Styler.webp,Capture Styler,3,0,Copy the effects of a Pokemon in the Route until the end of your turn. You can't buy or gain that Pokemon this turn. This can't Evolve.,,,Setup,Starter|Item,,,__none__,[WCS],,,
WCS-016,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Cassius.webp,Cassius,,,"When a card or Trainer effect you do not control discards a card from your hand or deck, you may put it on top of your deck.",,,Setup,Trainer,,,__none__,[WCS],,,4
WCS-017,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Celebi.webp,Celebi,8,3,"Choose one of the following:
 • Choose an Evolve card you control in play, in your discard pile, or in your deck, then Evolve it without paying its cost.
 • Gain an Evolve card in the Route, then Evolve it without paying its cost.",,,Mythical Pokemon Stack,Pokemon,,Mythical,__none__,[WCS],,,
WCS-018,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Celesteela.webp,Celesteela,10,4,"+3 Energy
Defense: You may discard this and any number of cards from your hand to avoid an Attack. If you do, draw a card for each card discarded this way.",,,Extra Stack,Pokemon,Defense,Ultra Beast,Beast Ball,[WCS],,,
WCS-019,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Celio.webp,Celio,,,"At the start of each of your turns, you may put the lowest XP value card from your discard pile into your hand (* counts as 3).",,,Setup,Trainer,,,__none__,[WCS],,,6
WCS-020,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Champion%20League%20Alola.webp,Champion League Alola,10,6,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[WCS],,,
WCS-021,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Champion%20League%20Galar.webp,Champion League Galar,10,6,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[WCS],,,
WCS-022,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Champion%20League%20Hoenn.webp,Champion League Hoenn,10,6,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[WCS],,,
WCS-023,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Champion%20League%20Johto.webp,Champion League Johto,10,6,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[WCS],,,
WCS-024,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Champion%20League%20Kalos.webp,Champion League Kalos,10,6,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[WCS],,,
WCS-025,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Champion%20League%20Kanto.webp,Champion League Kanto,10,6,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[WCS],,,
WCS-026,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Champion%20League%20Sinnoh.webp,Champion League Sinnoh,10,6,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[WCS],,,
WCS-027,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Champion%20League%20Unova.webp,Champion League Unova,10,6,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[WCS],,,
WCS-028,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Champion%20Red.webp,Champion Red,15,8,"Stack Ongoing: At the start of each turn, put a counter on this. If this has more than twice as many counters on this as there are players, immediately end the game.","When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,Stack Ongoing,,__none__,[WCS],,,
WCS-029,WCS-080,"{""WCS-080""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Channeler.webp,Channeler,,,You start the game with Pokemon Tower in your deck.,,,Setup,Trainer,,,__none__,[WCS],,,3
WCS-030,"WCS-033, WCS-096, WCS-010","{""WCS-033"",""WCS-096"",""WCS-010""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Coffee%20Break.webp,Coffee Break,2,0,"+1 Energy
Draw a card. At the end of your turn, swap this with Brilliant Deduction.",,,Setup,Starter,,,__none__,[WCS],,,
WCS-031,WCS-003,"{""WCS-003""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Computer%20Search.webp,Computer Search,6,1,"Discard a card. If you do, search your deck for any card and put it into your hand.",This can't be played if you control an ACE SPEC. This can't be copied.,red,Main Deck,Item,,ACE SPEC,__none__,[WCS],,,
WCS-032,"WCS-001, WCS-002","{""WCS-001"",""WCS-002""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Dark%20Guidance.webp,Dark Guidance,,,"When you play Ace Trainer Rob's Duskull, gain +2 Energy and choose a player. Attack: Put a card with cost 4 or less, other than a Starter Pokemon, from that player's discard pile under their Trainer.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",,Setup,Move,Attack,Unique,__none__,[WCS],,,
WCS-033,"WCS-096, WCS-030, WCS-010","{""WCS-096"",""WCS-030"",""WCS-010""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Detective%20Pikachu.webp,Detective Pikachu,,,You start the game with Scout in your deck and Coffee Break and Brilliant Deduction on top of this.,,,Setup,Trainer,,,__none__,[WCS],,,4
WCS-034,WCS-003,"{""WCS-003""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Dowsing%20Machine.webp,Dowsing Machine,6,1,"Put an Item, TM / HM, or Move from your discard pile into your hand.",This can't be played if you control an ACE SPEC. This can't be copied.,red,Main Deck,Item,,ACE SPEC,__none__,[WCS],,,
WCS-035,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Dulse.webp,Dulse,,,"The first time another player destroys a card each turn, you may discard a card. If you do, draw a card.",,,Setup,Trainer,,,__none__,[WCS],,,5
WCS-036,"WCS-037, WCS-103","{""WCS-037"",""WCS-103""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Duplica.webp,Duplica,,,You start the game with Duplica's Ditto in your deck.,,,Setup,Trainer,,,__none__,[WCS],,,7
WCS-037,"WCS-036, WCS-103","{""WCS-036"",""WCS-103""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Duplica's%20Ditto.webp,Duplica's Ditto,3,0,"+2 Energy
Learn 7: Gain Transform and put it in front of your Trainer.",,,Setup,Starter|Pokemon,Learn,,__none__,[WCS],,,
WCS-038,"WCS-045, WCS-044","{""WCS-045"",""WCS-044""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Dynamax%20Galarian%20Slowking.webp,Dynamax Galarian Slowking,8,0,"During each opponent's next turn, that opponent can only play cards that share a primary card type with the first card they play that turn.
Choose one of the following:
 • Challenges cost you four less to buy this turn.
 • Put four counters on a Max Raid.",,,Evolution Stack,Pokemon,,MAX,__none__,[WCS],,,
WCS-039,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Eevee.webp,Eevee,5,1,"Defense: You may discards this to avoid an Attack. If you do, draw a card.
Evolve 6: Put this under your Trainer. Gain Espeon, Flareon, Glaceon, Jolteon, Leafeon, Sylveon, Umbreon, or Vaporean from the Evolution Stack.",,,Main Deck,Pokemon,Defense|Evolve,,__none__,[WCS],,,
WCS-040,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Electabuzz.webp,Electabuzz,5,1,"+2 Energy and choose an opponent.
Attack: That opponent flips their Trainers and Unique Moves face-down until the start of your next turn.
Evolve 7: Put this under your Trainer. Gain Electivire from the Evolution Stack.",,,Main Deck,Pokemon,Attack|Evolve,,__none__,[WCS],,,
WCS-041,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Electivire.webp,Electivire,7,2,"+3 Energy and choose an opponent.
Attack: This Attack can't be avoided. That opponent flips their Trainers and Unique Moves face-down until the start of your next turn.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[WCS],,,
WCS-042,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Ever%20Grande%20Conference.webp,Ever Grande Conference,8,5,,"When you gain this, put this under your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[WCS],,,
WCS-043,WCS-045,"{""WCS-045""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Galarian%20Slowbro.webp,Galarian Slowbro,5,2,"+1 Energy
Gain +1 Energy for each opponent that has a Poison in their discard pile. Then each opponent that doesn't have a Poison in their discard pile gains a Poison.",,,Evolution Stack,Pokemon,,Evolved,__none__,[WCS],,,
WCS-044,"WCS-045, WCS-038","{""WCS-045"",""WCS-038""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Galarian%20Slowking.webp,Galarian Slowking,7,2,"+3 Energy and choose an opponent.
That opponent chooses either Pokemon, Item, TM / HM, or Starter and can only play cards that have that type during their next turn.",,,Evolution Stack,Pokemon,,Evolved,MAX Symbol,[WCS],,,
WCS-045,"WCS-043, WCS-044, WCS-038","{""WCS-043"",""WCS-044"",""WCS-038""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Galarian%20Slowpoke.webp,Galarian Slowpoke,3,1,"At the end of your turn, draw an additional card.
Evolve 4: Put this under your Trainer. Gain Galarian Slowbro from the Evolution Stack.
Evolve 6: Put this under your Trainer. Gain Galarian Slowking from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[WCS],,,
WCS-046,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/WCS/Gatekeeper%20Webster.webp,Gatekeeper Webster,,,"The first time an opponent draws a card during their Start Phase or Main Phase, that player discards a card.",,,Setup,Trainer,,,__none__,[WCS],,,3
